PIF:
 ('start', (0, 0))
('.', (0, 0))
('define', (0, 0))
('1', (23, 0))
('as', (0, 0))
('number', (0, 0))
('.', (0, 0))
('define', (0, 0))
('1', (24, 0))
(',', (0, 0))
('1', (25, 0))
('as', (0, 0))
('text', (0, 0))
('.', (0, 0))
('1', (24, 0))
('=', (0, 0))
('0', (29, 0))
('.', (0, 0))
('1', (25, 0))
('=', (0, 0))
('.', (0, 0))
('read', (0, 0))
('1', (23, 0))
('.', (0, 0))
('condition', (0, 0))
('(', (0, 0))
('1', (23, 0))
('=', (0, 0))
('0', (24, 0))
(')', (0, 0))
('{', (0, 0))
('show', (0, 0))
('1', (23, 0))
('.', (0, 0))
('show', (0, 0))
('1', (24, 0))
('.', (0, 0))
('show', (0, 0))
('1', (25, 0))
('.', (0, 0))
('}', (0, 0))
('end', (0, 0))
('.', (0, 0))

